Comprehensive Analysis of PSMG3 in Pan-Cancer  and Validation of Its Role in Hepatocellular Carcinoma									
Table S3  GO analysis of DEGs of PSMG3 in LIHC									
ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MF	GO:0008392	arachidonic acid epoxygenase activity	7/262	16/18496	1.08E-09	7.32E-08	5.56E-08	CYP2C9/CYP2C8/CYP2E1/CYP4A11/CYP4F2/CYP2B6/CYP2A6	7
MF	GO:0020037	heme binding	14/262	141/18496	1.35E-08	8.09E-07	6.15E-07	CYP2C9/HRG/CYP39A1/CYP8B1/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP4A22/CYP3A4/CYP4F2/CYP2B6/CYP2A6/TDO2	14
MF	GO:0046906	tetrapyrrole binding	14/262	151/18496	3.25E-08	1.75E-06	1.33E-06	CYP2C9/HRG/CYP39A1/CYP8B1/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP4A22/CYP3A4/CYP4F2/CYP2B6/CYP2A6/TDO2	14
MF	GO:0016705	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	15/262	179/18496	4.07E-08	2.00E-06	1.52E-06	CYP2C9/CYP39A1/CYP8B1/CYP2C8/CYP2E1/CYP1A2/CYP4A11/PAH/AKR1D1/FMO3/CYP4A22/CYP3A4/CYP4F2/CYP2B6/CYP2A6	15
MF	GO:0008395	steroid hydroxylase activity	7/262	26/18496	5.52E-08	2.29E-06	1.74E-06	CYP2C9/CYP39A1/CYP8B1/CYP2C8/CYP1A2/CYP3A4/CYP2B6	7
MF	GO:0070330	aromatase activity	7/262	26/18496	5.52E-08	2.29E-06	1.74E-06	CYP2C9/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP3A4/CYP4F2	7
MF	GO:0018455	alcohol dehydrogenase [NAD(P)+] activity	5/262	10/18496	1.31E-07	5.04E-06	3.83E-06	ADH1A/ADH4/ADH6/ADH1C/ADH1B	5
MF	GO:0016725	"oxidoreductase activity, acting on CH or CH2 groups"	5/262	11/18496	2.37E-07	8.52E-06	6.47E-06	CYP2C9/CYP2C8/CYP1A2/CYP3A4/RRM2	5
MF	GO:0008514	organic anion transmembrane transporter activity	16/262	242/18496	3.82E-07	1.29E-05	9.80E-06	SLC38A4/SLC13A5/SLC6A1/SLC7A2/SLC25A47/SLC27A2/SLCO1B1/ABCB11/SLC10A1/SLC25A15/MFSD2A/SLC2A2/SLC27A5/SLC52A2/SLC6A8/SLC22A1	16
MF	GO:0016709	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	7/262	38/18496	9.16E-07	2.91E-05	2.21E-05	CYP2C9/CYP2E1/AKR1D1/FMO3/CYP3A4/CYP4F2/CYP2B6	7
MF	GO:0008028	monocarboxylic acid transmembrane transporter activity	8/262	62/18496	2.54E-06	7.63E-05	5.80E-05	SLC6A1/SLC27A2/SLCO1B1/ABCB11/SLC10A1/MFSD2A/SLC27A5/SLC6A8	8
MF	GO:0046943	carboxylic acid transmembrane transporter activity	12/262	164/18496	3.95E-06	0.000112279	8.54E-05	SLC38A4/SLC13A5/SLC6A1/SLC7A2/SLC27A2/SLCO1B1/ABCB11/SLC10A1/SLC25A15/MFSD2A/SLC27A5/SLC6A8	12
MF	GO:0005342	organic acid transmembrane transporter activity	12/262	165/18496	4.21E-06	0.000113603	8.64E-05	SLC38A4/SLC13A5/SLC6A1/SLC7A2/SLC27A2/SLCO1B1/ABCB11/SLC10A1/SLC25A15/MFSD2A/SLC27A5/SLC6A8	12
MF	GO:0016229	steroid dehydrogenase activity	6/262	35/18496	8.77E-06	0.000225565	0.000171482	HSD17B6/RDH16/HSD17B13/HSD11B1/AKR1D1/SRD5A2	6
MF	GO:0004857	enzyme inhibitor activity	18/262	386/18496	1.07E-05	0.000261853	0.000199069	FETUB/PPP1R14B/SERPINA11/HRG/SERPINC1/SPINK1/TESC/HSPB1/GPC3/ANGPTL3/C3P1/BIRC5/SPP2/CDKN2A/UGT1A1/AHSG/PTTG1/SFN	18
MF	GO:0015645	fatty acid ligase activity	5/262	22/18496	1.19E-05	0.000278648	0.000211837	ACSL1/SLC27A2/ACSM2A/ACSM5/SLC27A5	5
MF	GO:0016405	CoA-ligase activity	5/262	27/18496	3.43E-05	0.000762523	0.000579696	ACSL1/SLC27A2/ACSM2A/ACSM5/SLC27A5	5
MF	GO:0005319	lipid transporter activity	11/262	172/18496	3.53E-05	0.000762523	0.000579696	CFHR4/ABCB4/SLC27A2/SLCO1B1/ABCB11/SLC10A1/MFSD2A/APOF/TTPA/SLC27A5/SLC22A1	11
MF	GO:0030414	peptidase inhibitor activity	11/262	175/18496	4.14E-05	0.00085927	0.000653246	FETUB/SERPINA11/HRG/SERPINC1/SPINK1/GPC3/C3P1/BIRC5/SPP2/AHSG/PTTG1	11
MF	GO:0019842	vitamin binding	10/262	150/18496	5.64E-05	0.001096416	0.000833532	TAT/ABAT/ADH4/ALB/GNMT/AGXT/SDS/AFM/TTPA/CTH	10
MF	GO:0016903	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	6/262	48/18496	5.69E-05	0.001096416	0.000833532	ALDH8A1/ADH4/ALDH1L1/AOX1/HAO1/ALDH6A1	6
MF	GO:0016878	acid-thiol ligase activity	5/262	31/18496	6.90E-05	0.001284815	0.00097676	ACSL1/SLC27A2/ACSM2A/ACSM5/SLC27A5	5
MF	GO:0016597	amino acid binding	6/262	51/18496	8.05E-05	0.001408132	0.00107051	CPS1/TAT/OTC/GNMT/AGXT/TDO2	6
MF	GO:0033764	"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	5/262	32/18496	8.08E-05	0.001408132	0.00107051	HSD17B6/RDH16/HSD17B13/HSD11B1/SRD5A2	5
MF	GO:0048029	monosaccharide binding	7/262	75/18496	9.23E-05	0.001556866	0.001183582	MBL2/COLEC10/CLEC4G/ALDOA/FBP1/G6PD/ALDOB	7
MF	GO:0061134	peptidase regulator activity	12/262	228/18496	0.00010428	0.001706403	0.001297265	FETUB/SERPINA11/HRG/SERPINC1/SPINK1/GPC3/PYCARD/C3P1/BIRC5/SPP2/AHSG/PTTG1	12
MF	GO:0030170	pyridoxal phosphate binding	6/262	56/18496	0.000136847	0.002145482	0.001631068	TAT/ABAT/ALB/AGXT/SDS/CTH	6
MF	GO:0015370	solute:sodium symporter activity	7/262	80/18496	0.000139059	0.002145482	0.001631068	SLC38A4/SLC13A5/SLC6A1/SLC10A1/MFSD2A/SLC6A8/SLC22A1	7
MF	GO:0004866	endopeptidase inhibitor activity	10/262	168/18496	0.000144996	0.002174945	0.001653467	FETUB/SERPINA11/HRG/SERPINC1/SPINK1/C3P1/BIRC5/SPP2/AHSG/PTTG1	10
MF	GO:0070279	vitamin B6 binding	6/262	57/18496	0.000151152	0.002206001	0.001677077	TAT/ABAT/ALB/AGXT/SDS/CTH	6
MF	GO:0004869	cysteine-type endopeptidase inhibitor activity	5/262	37/18496	0.000165163	0.002229698	0.001695092	FETUB/HRG/BIRC5/AHSG/PTTG1	5
MF	GO:0005343	organic acid:sodium symporter activity	5/262	37/18496	0.000165163	0.002229698	0.001695092	SLC38A4/SLC13A5/SLC6A1/SLC10A1/SLC6A8	5
MF	GO:0072349	modified amino acid transmembrane transporter activity	5/262	37/18496	0.000165163	0.002229698	0.001695092	SLC38A4/SLC7A2/SLC25A15/SLC6A8/SLC22A1	5
MF	GO:0019825	oxygen binding	5/262	39/18496	0.000213181	0.002807752	0.002134548	CYP8B1/CYP2E1/ALB/CYP3A4/TDO2	5
MF	GO:0016877	"ligase activity, forming carbon-sulfur bonds"	5/262	41/18496	0.00027115	0.003486215	0.002650339	ACSL1/SLC27A2/ACSM2A/ACSM5/SLC27A5	5
MF	GO:0061135	endopeptidase regulator activity	10/262	184/18496	0.000302942	0.003804385	0.002892222	FETUB/SERPINA11/HRG/SERPINC1/SPINK1/C3P1/BIRC5/SPP2/AHSG/PTTG1	10
MF	GO:0015245	fatty acid transmembrane transporter activity	3/262	10/18496	0.000313254	0.003844479	0.002922703	SLC27A2/MFSD2A/SLC27A5	3
MF	GO:0001851	complement component C3b binding	3/262	11/18496	0.000426221	0.005114651	0.003888331	CFHR4/CFHR5/CFHR3	3
MF	GO:0001848	complement binding	4/262	26/18496	0.000460187	0.005402192	0.00410693	CFHR4/CFHR5/C8A/CFHR3	4
MF	GO:0031406	carboxylic acid binding	10/262	195/18496	0.000479701	0.005511459	0.004189998	CPS1/TAT/ALB/OTC/GNMT/AGXT/MDK/PCK1/TDO2/UGT1A1	10
MF	GO:0016645	"oxidoreductase activity, acting on the CH-NH group of donors"	4/262	28/18496	0.000616402	0.006934526	0.005271862	AASS/ALDH1L1/DMGDH/PYCR1	4
MF	GO:0061459	L-arginine transmembrane transporter activity	3/262	13/18496	0.000723432	0.007972514	0.006060975	SLC38A4/SLC7A2/SLC25A15	3
MF	GO:0043177	organic acid binding	10/262	207/18496	0.000762618	0.008236277	0.006261497	CPS1/TAT/ALB/OTC/GNMT/AGXT/MDK/PCK1/TDO2/UGT1A1	10
MF	GO:1901618	organic hydroxy compound transmembrane transporter activity	5/262	53/18496	0.000904472	0.009576759	0.007280577	AQP9/SLCO1B1/ABCB11/SLC10A1/SLC22A1	5
MF	GO:0140272	exogenous protein binding	6/262	80/18496	0.000954773	0.009914946	0.007537678	RPSA/CDK1/ALB/CLEC4G/SLC10A1/SLC52A2	6
MF	GO:0019207	kinase regulator activity	11/262	256/18496	0.001104776	0.011065405	0.008412296	ACSL1/IGF2/CCNB1/TESC/HSPB1/CCNB2/CD24/CKS2/CDKN2A/AHSG/SFN	11
MF	GO:0004467	long-chain fatty acid-CoA ligase activity	3/262	15/18496	0.001127032	0.011065405	0.008412296	ACSL1/SLC27A2/SLC27A5	3
MF	GO:0140161	monocarboxylate:sodium symporter activity	3/262	15/18496	0.001127032	0.011065405	0.008412296	SLC6A1/SLC10A1/SLC6A8	3
MF	GO:0015020	glucuronosyltransferase activity	4/262	34/18496	0.00130626	0.012596081	0.009575968	UGT2B7/UGT1A4/UGT2B15/UGT1A1	4
MF	GO:0015378	sodium:chloride symporter activity	3/262	16/18496	0.001372664	0.012987485	0.009873527	SLC6A1/SLC6A8/SLC22A1	3
MF	GO:0015294	solute:monoatomic cation symporter activity	7/262	117/18496	0.001394952	0.012987485	0.009873527	SLC38A4/SLC13A5/SLC6A1/SLC10A1/MFSD2A/SLC6A8/SLC22A1	7
MF	GO:0016747	"acyltransferase activity, transferring groups other than amino-acyl groups"	10/262	225/18496	0.001433299	0.013118331	0.009973	BAAT/NAT2/MOGAT2/PAFAH1B3/GLYAT/ACSM2A/ACSM5/SPHK1/GLYATL1/LCAT	10
MF	GO:0019887	protein kinase regulator activity	10/262	226/18496	0.001481395	0.013332554	0.01013586	ACSL1/IGF2/CCNB1/TESC/HSPB1/CCNB2/CD24/CKS2/CDKN2A/SFN	10
MF	GO:0005324	long-chain fatty acid transporter activity	3/262	17/18496	0.001649452	0.014601705	0.011100712	SLC27A2/MFSD2A/SLC27A5	3
MF	GO:1901681	sulfur compound binding	11/262	275/18496	0.001950933	0.016084836	0.012228238	HRG/F11/SERPINC1/SAA1/APOA5/GNMT/VEGFB/MDK/ANGPTL3/RRM2/SULT2A1	11
MF	GO:0015373	monoatomic anion:sodium symporter activity	3/262	18/18496	0.001958748	0.016084836	0.012228238	SLC6A1/SLC6A8/SLC22A1	3
MF	GO:0016646	"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor"	3/262	18/18496	0.001958748	0.016084836	0.012228238	AASS/ALDH1L1/PYCR1	3
MF	GO:0016829	lyase activity	9/262	196/18496	0.001965924	0.016084836	0.012228238	UROC1/CA9/CYP1A2/EHHADH/SDS/ALDOA/PCK1/CTH/ALDOB	9
MF	GO:0017171	serine hydrolase activity	9/262	196/18496	0.001965924	0.016084836	0.012228238	AADAC/F9/F11/HPR/PLG/MMP9/CD5L/HP/HGFAC	9
MF	GO:0016620	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	4/262	39/18496	0.002192064	0.01766738	0.013431342	ALDH8A1/ADH4/ALDH1L1/ALDH6A1	4
MF	GO:0015125	bile acid transmembrane transporter activity	3/262	19/18496	0.002301829	0.018014316	0.013695094	SLCO1B1/ABCB11/SLC10A1	3
MF	GO:0015355	secondary active monocarboxylate transmembrane transporter activity	3/262	19/18496	0.002301829	0.018014316	0.013695094	SLC6A1/SLC10A1/SLC6A8	3
MF	GO:0015174	basic amino acid transmembrane transporter activity	3/262	20/18496	0.002679898	0.020673499	0.015716695	SLC38A4/SLC7A2/SLC25A15	3
MF	GO:0001846	opsonin binding	3/262	21/18496	0.003094086	0.023532482	0.017890191	CFHR4/CFHR5/CFHR3	3
MF	GO:0004252	serine-type endopeptidase activity	8/262	174/18496	0.003427797	0.02535631	0.019276727	F9/F11/HPR/PLG/MMP9/CD5L/HP/HGFAC	8
MF	GO:0008201	heparin binding	8/262	174/18496	0.003427797	0.02535631	0.019276727	HRG/F11/SERPINC1/SAA1/APOA5/VEGFB/MDK/ANGPTL3	8
MF	GO:0015377	chloride:monoatomic cation symporter activity	3/262	22/18496	0.003545454	0.025872234	0.01966895	SLC6A1/SLC6A8/SLC22A1	3
MF	GO:0005283	amino acid:sodium symporter activity	3/262	23/18496	0.004034999	0.029051993	0.02208631	SLC38A4/SLC6A1/SLC6A8	3
MF	GO:0019210	kinase inhibitor activity	5/262	76/18496	0.004476601	0.031807426	0.024181084	TESC/HSPB1/CDKN2A/AHSG/SFN	5
MF	GO:0016702	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	3/262	24/18496	0.00456365	0.032004815	0.024331146	HPD/CDO1/TDO2	3
MF	GO:0000287	magnesium ion binding	9/262	224/18496	0.004767718	0.033007277	0.025093252	TOP2A/TESC/FEN1/S100P/EPHX2/SPHK1/PKM/PCK1/NME1	9
MF	GO:0005537	mannose binding	3/262	25/18496	0.005132273	0.033797897	0.025694307	MBL2/COLEC10/CLEC4G	3
MF	GO:0008483	transaminase activity	3/262	25/18496	0.005132273	0.033797897	0.025694307	TAT/ABAT/AGXT	3
MF	GO:0015296	monoatomic anion:monoatomic cation symporter activity	3/262	25/18496	0.005132273	0.033797897	0.025694307	SLC6A1/SLC6A8/SLC22A1	3
MF	GO:0016701	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	3/262	25/18496	0.005132273	0.033797897	0.025694307	HPD/CDO1/TDO2	3
MF	GO:0001618	virus receptor activity	5/262	79/18496	0.005277737	0.033928309	0.025793451	RPSA/CDK1/CLEC4G/SLC10A1/SLC52A2	5
MF	GO:0048306	calcium-dependent protein binding	5/262	79/18496	0.005277737	0.033928309	0.025793451	MBL2/FCN2/S100A11/S100P/S100A6	5
MF	GO:0015293	symporter activity	7/262	149/18496	0.005394081	0.034139002	0.025953627	SLC38A4/SLC13A5/SLC6A1/SLC10A1/MFSD2A/SLC6A8/SLC22A1	7
MF	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	4/262	50/18496	0.005436952	0.034139002	0.025953627	CCNB1/CCNB2/CKS2/CDKN2A	4
MF	GO:0016769	"transferase activity, transferring nitrogenous groups"	3/262	26/18496	0.005741676	0.035637988	0.027093207	TAT/ABAT/AGXT	3
MF	GO:0008236	serine-type peptidase activity	8/262	192/18496	0.006166998	0.037842943	0.028769489	F9/F11/HPR/PLG/MMP9/CD5L/HP/HGFAC	8
MF	GO:0050661	NADP binding	4/262	53/18496	0.00668898	0.04058482	0.030853957	HSD11B1/FMO3/ASPDH/G6PD	4
MF	GO:0015081	sodium ion transmembrane transporter activity	7/262	157/18496	0.007129592	0.042577991	0.032369233	SLC38A4/SLC13A5/SLC6A1/SLC10A1/MFSD2A/SLC6A8/SLC22A1	7
MF	GO:0015171	amino acid transmembrane transporter activity	5/262	85/18496	0.00717518	0.042577991	0.032369233	SLC38A4/SLC6A1/SLC7A2/SLC25A15/SLC6A8	5
MF	GO:0005539	glycosaminoglycan binding	9/262	240/18496	0.007392364	0.043389964	0.032986522	HRG/F11/SERPINC1/SAA1/APOA5/VEGFB/PGLYRP2/MDK/ANGPTL3	9
MF	GO:0005416	amino acid:monoatomic cation symporter activity	3/262	29/18496	0.007821743	0.045416572	0.034527219	SLC38A4/SLC6A1/SLC6A8	3
MF	GO:0008401	retinoic acid 4-hydroxylase activity	2/262	10/18496	0.008345214	0.04694183	0.035686771	CYP2C8/CYP3A4	2
MF	GO:0015643	toxic substance binding	2/262	10/18496	0.008345214	0.04694183	0.035686771	ALB/EPHX2	2
MF	GO:0031957	very long-chain fatty acid-CoA ligase activity	2/262	10/18496	0.008345214	0.04694183	0.035686771	SLC27A2/SLC27A5	2
MF	GO:0004033	aldo-keto reductase (NADP) activity	3/262	30/18496	0.008601169	0.047882794	0.036402124	ADH4/AKR7A3/AKR1D1	3
